Id,mszoning,bathrooms,bedrooms,finishedsqft,lastsoldyear,lastsoldprice,neighborhood,totalrooms,yearbuilt
1,RL,5,3,1710,2008,208500,CollgCr,8,2003
2,RL,3,3,1262,2007,181500,Veenker,6,1976
3,RL,3,3,1786,2008,223500,CollgCr,6,2001
4,RL,4,3,1717,2006,140000,Crawfor,7,1915
5,RL,5,4,2198,2008,250000,NoRidge,9,2000
6,RL,4,1,1362,2009,143000,Mitchel,5,1993
7,RL,4,3,1694,2007,307000,Somerst,7,2004
8,RL,4,3,2090,2009,200000,NWAmes,7,1973
9,RM,6,2,1774,2008,129900,OldTown,8,1931
10,RL,3,2,1077,2008,118000,BrkSide,5,1939
11,RL,2,3,1040,2008,129500,Sawyer,5,1965
12,RL,7,4,2324,2006,345000,NridgHt,11,2005
13,RL,2,2,912,2008,144000,Sawyer,4,1962
14,RL,4,3,1494,2007,279500,CollgCr,7,2006
15,RL,3,2,1253,2008,157000,NAmes,5,1960
16,RM,3,2,854,2007,132000,BrkSide,5,1929
17,RL,3,2,1004,2010,149000,NAmes,5,1970
18,RL,4,2,1296,2006,90000,Sawyer,6,1967
19,RL,3,3,1114,2008,159000,SawyerW,6,2004
20,RL,3,3,1339,2009,139000,NAmes,6,1958
21,RL,5,4,2376,2006,325300,NridgHt,9,2005
22,RM,3,3,1108,2007,139400,IDOTRR,6,1930
23,RL,4,3,1795,2008,230000,CollgCr,7,2002
24,RM,3,3,1060,2007,129900,MeadowV,6,1976
25,RL,3,3,1060,2010,154000,Sawyer,6,1968
26,RL,4,3,1600,2009,256300,NridgHt,7,2007
27,RL,2,3,900,2010,134800,NAmes,5,1951
28,RL,4,3,1704,2010,306000,NridgHt,7,2007
29,RL,4,2,1600,2006,207500,NAmes,6,1957
30,RM,3,1,520,2008,68500,BrkSide,4,1927
31,C (all),3,3,1317,2008,40000,IDOTRR,6,1920
32,RL,3,3,1228,2008,149350,Sawyer,6,1966
33,RL,4,3,1234,2008,179900,CollgCr,7,2007
34,RL,2,4,1700,2010,165500,NAmes,6,1959
35,RL,4,2,1561,2007,277500,NridgHt,6,2005
36,RL,5,4,2452,2006,309000,NridgHt,9,2004
37,RL,3,3,1097,2009,145000,CollgCr,6,1994
38,RL,2,3,1297,2009,153000,NAmes,5,1954
39,RL,2,3,1057,2010,109000,NAmes,5,1953
40,RL,4,2,1152,2008,82000,Edwards,6,1955
41,RL,3,3,1324,2006,160000,NAmes,6,1965
42,RL,3,2,1328,2007,170000,Timber,5,1959
43,RL,3,2,884,2007,144000,SawyerW,5,1983
44,RL,2,3,938,2008,130250,CollgCr,5,1975
45,RL,3,3,1150,2006,141000,NAmes,6,1959
46,RL,4,2,1752,2010,319900,NridgHt,6,2005
47,RL,5,1,2149,2009,239686,Mitchel,6,2003
48,FV,4,3,1656,2007,249700,Somerst,7,2006
49,RM,6,2,1452,2009,113000,OldTown,8,1920
50,RL,3,3,955,2007,127000,Sawyer,6,1966
51,RL,3,3,1470,2007,177000,Gilbert,6,1997
52,RM,3,3,1176,2006,114500,BrkSide,6,1934
53,RM,3,2,816,2010,110000,IDOTRR,5,1963
54,RL,5,0,1842,2006,385000,Veenker,5,1981
55,RL,3,3,1360,2007,130000,NAmes,6,1955
56,RL,4,3,1425,2008,180500,NAmes,7,1964
57,FV,4,3,1739,2009,172500,Somerst,7,1999
58,RL,4,3,1720,2006,196500,CollgCr,7,2004
59,RL,7,3,2945,2006,438780,StoneBr,10,2006
60,RL,2,2,780,2008,124900,CollgCr,4,1972
61,RL,2,3,1158,2006,158000,SawyerW,5,2004
62,RM,3,3,1111,2007,101000,IDOTRR,6,1920
63,RL,4,2,1370,2007,202500,NridgHt,6,2006
64,RM,6,3,1710,2010,140000,OldTown,9,1921
65,RL,5,3,2034,2009,219500,CollgCr,8,1997
66,RL,5,4,2473,2007,317000,NridgHt,9,2004
67,RL,4,3,2207,2010,180000,NAmes,7,1970
68,RL,4,3,1479,2007,226000,CollgCr,7,2003
69,RM,2,2,747,2010,80000,OldTown,4,1945
70,RL,4,3,2287,2006,225000,ClearCr,7,1953
71,RL,5,3,2223,2007,244000,NAmes,8,1973
72,RL,2,2,845,2007,129500,Mitchel,4,1982
73,RL,4,3,1718,2009,185000,Gilbert,7,1998
74,RL,3,3,1086,2010,144900,NAmes,6,1954
75,RM,5,3,1605,2010,107400,OldTown,8,1915
76,RM,3,2,988,2009,91000,MeadowV,5,1973
77,RL,2,2,952,2008,135750,NAmes,4,1956
78,RM,4,2,1285,2008,127000,BrkSide,6,1948
79,RL,4,4,1768,2010,136500,Sawyer,8,1968
80,RM,3,2,1230,2009,110000,OldTown,5,1910
81,RL,4,4,2142,2009,193500,NAmes,8,1968
82,RM,3,2,1337,2006,153500,Mitchel,5,1998
83,RL,3,3,1563,2008,245000,Somerst,6,2007
84,RL,3,3,1065,2007,126500,NAmes,6,1960
85,RL,4,3,1474,2009,168500,Gilbert,7,1995
86,RL,5,4,2417,2006,260000,NoRidge,9,1991
87,RL,3,3,1560,2009,174000,Gilbert,6,2005
88,FV,2,2,1224,2009,164500,Somerst,4,2009
89,C (all),4,2,1526,2009,85000,IDOTRR,6,1915
90,RL,2,3,990,2007,123600,CollgCr,5,1994
91,RL,2,2,1040,2006,109900,NAmes,4,1950
92,RL,4,2,1235,2006,98600,NAmes,6,1961
93,RL,3,2,964,2009,163500,Crawfor,5,1921
94,C (all),5,4,2291,2007,133900,OldTown,9,1910
95,RL,4,3,1786,2007,204750,CollgCr,7,1997
96,RL,3,3,1470,2009,185000,Gilbert,6,1993
97,RL,3,3,1588,2006,214000,CollgCr,6,1999
98,RL,3,3,960,2007,94750,Edwards,6,1965
99,RL,3,2,835,2010,83000,Edwards,5,1920
100,RL,3,3,1225,2010,128950,NAmes,6,1959
101,RL,3,3,1610,2010,205000,NWAmes,6,1977
102,RL,4,3,1732,2010,178000,SawyerW,7,1985
103,RL,4,4,1535,2009,118964,SawyerW,8,1979
104,RL,3,3,1226,2010,198900,CollgCr,6,2009
105,RM,3,4,1818,2007,169500,IDOTRR,7,1931
106,FV,6,3,1992,2008,250000,Somerst,9,2003
107,RM,4,2,1047,2007,100000,OldTown,6,1885
108,RM,3,2,789,2008,115000,OldTown,5,1948
109,RM,4,3,1517,2007,115000,IDOTRR,7,1919
110,RL,4,3,1844,2010,190000,NWAmes,7,1977
111,RL,3,4,1855,2006,136900,Edwards,7,1954
112,RL,4,3,1430,2010,180000,Gilbert,7,2000
113,RL,6,4,2696,2007,383970,CollgCr,10,2007
114,RL,4,3,2259,2007,217000,Crawfor,7,1953
115,RL,6,3,2320,2007,259500,Crawfor,9,1945
116,FV,3,2,1458,2007,176000,Somerst,5,1999
117,RL,3,3,1092,2009,139000,Sawyer,6,1962
118,RL,3,2,1125,2007,155000,Edwards,5,2006
119,RL,6,5,3222,2010,320000,SawyerW,11,1990
120,RL,5,3,1456,2006,163990,CollgCr,8,2005
121,RL,3,1,988,2006,180000,ClearCr,4,1969
122,RM,1,3,1123,2007,100000,IDOTRR,4,1939
123,RL,2,3,1080,2008,136000,NAmes,5,1958
124,RL,3,2,1199,2008,153900,SawyerW,5,1993
125,RL,4,3,1586,2009,181000,NWAmes,7,1979
126,RM,3,2,754,2006,84500,IDOTRR,5,1935
127,RL,3,2,958,2007,128000,NPkVill,5,1976
128,RM,2,3,840,2007,87000,OldTown,5,1930
129,RL,3,3,1348,2006,155000,NAmes,6,1966
130,RL,3,3,1053,2006,150000,NAmes,6,1958
131,RL,4,4,2157,2006,226000,NAmes,8,1966
132,RL,4,3,2054,2009,244000,Gilbert,7,2000
133,RL,4,3,1327,2007,150750,NAmes,7,1959
134,RL,4,2,1296,2009,220000,Timber,6,2001
135,RL,4,3,1721,2006,180000,Sawyer,7,1968
136,RL,4,3,1682,2008,174000,NWAmes,7,1970
137,RL,2,3,1214,2007,143000,NAmes,5,1967
138,RL,4,5,1959,2006,171000,Mitchel,9,1988
139,RL,4,3,1852,2008,230000,CollgCr,7,1999
140,RL,4,3,1764,2009,231500,CollgCr,7,1997
141,RL,2,3,864,2010,115000,NAmes,5,1971
142,RL,4,3,1734,2006,260000,CollgCr,7,2005
143,RL,2,4,1385,2010,166000,NAmes,6,1952
144,RL,3,3,1501,2009,204000,CollgCr,6,1999
145,RM,4,6,1728,2006,125000,Sawyer,10,1963
146,RM,4,3,1709,2006,130000,Edwards,7,2004
147,RM,3,2,875,2009,105000,BrkSide,5,1931
148,RL,5,3,2035,2010,222500,Gilbert,8,2001
149,RL,3,3,1080,2008,141000,SawyerW,6,2004
150,RM,4,3,1344,2006,115000,BrkSide,7,1936
151,RL,2,3,969,2007,122000,CollgCr,5,1975
152,RL,4,2,1710,2008,372402,NridgHt,6,2007
153,RL,4,4,1993,2006,190000,NWAmes,8,1971
154,RL,3,1,1252,2008,235000,ClearCr,4,1960
155,RM,3,4,1200,2006,125000,OldTown,7,1923
156,RL,3,2,1096,2008,79000,Edwards,5,1924
157,RL,3,2,1040,2006,109500,NAmes,5,1950
158,RL,4,4,1968,2010,269500,Timber,8,2009
159,FV,5,3,1947,2010,254900,Somerst,8,2004
160,RL,5,4,2462,2006,320000,Gilbert,9,2005
161,RL,3,3,1232,2008,162500,Veenker,6,1984
162,RL,7,3,2668,2008,412500,NridgHt,10,2003
163,RL,4,3,1541,2010,220000,NridgHt,7,2005
164,RL,3,1,882,2007,103200,OldTown,4,1956
165,RM,2,3,1616,2007,152000,OldTown,5,1926
166,RL,2,4,1355,2008,127500,Edwards,6,1940
167,RL,5,2,1867,2009,190000,ClearCr,7,1955
168,RL,5,3,2161,2007,325624,NridgHt,8,2007
169,RL,4,3,1720,2007,183500,Gilbert,7,2004
170,RL,4,2,1707,2006,228000,Timber,6,1981
171,RM,5,2,1382,2007,128500,OldTown,7,1941
172,RL,4,3,1656,2010,215000,NAmes,7,1960
173,RL,3,2,1767,2006,239000,StoneBr,5,1987
174,RL,3,3,1362,2008,163000,NAmes,6,1961
175,RL,4,3,1651,2008,184000,Timber,7,1986
176,RL,3,4,2158,2007,243000,Edwards,7,1950
177,RL,4,4,2060,2007,211000,ClearCr,8,1988
178,RL,4,4,1920,2006,172500,Sawyer,8,1958
179,RL,8,1,2234,2009,501837,StoneBr,9,2008
180,RM,3,2,968,2007,100000,OldTown,5,1923
181,FV,2,3,1525,2007,177000,Somerst,5,2000
182,RL,5,4,1802,2006,200100,Crawfor,9,1920
183,RL,4,3,1340,2007,120000,Edwards,7,1957
184,RM,3,3,2082,2008,200000,OldTown,6,2003
185,RL,2,3,1252,2006,127000,BrkSide,5,1908
186,RM,8,4,3608,2006,475000,OldTown,12,1892
187,RL,3,3,1217,2009,173000,Mitchel,6,1990
188,RL,5,3,1656,2009,135000,OldTown,8,1916
189,RL,4,2,1224,2009,153337,SawyerW,6,1979
190,RL,5,0,1593,2008,286000,StoneBr,5,2001
191,RL,7,3,2727,2007,315000,Crawfor,10,1932
192,RL,3,4,1479,2007,184000,NAmes,7,1972
193,RL,3,3,1431,2009,192000,CollgCr,6,1999
194,RM,4,3,1709,2006,130000,Edwards,7,2004
195,RL,2,3,864,2008,127000,CollgCr,5,1972
196,RL,4,3,1456,2009,148500,NPkVill,7,1976
197,RL,5,3,1726,2007,311872,Somerst,8,2007
198,RL,4,4,3112,2006,235000,NAmes,8,1918
199,RM,3,5,2229,2009,104000,OldTown,8,1912
200,RL,4,3,1713,2009,274900,NridgHt,7,2004
201,RM,3,2,1121,2010,140000,Edwards,5,2003
202,RL,3,3,1279,2008,171500,Mitchel,6,1977
203,RL,4,2,1310,2006,112000,OldTown,6,1924
204,RM,2,1,848,2008,149000,CollgCr,3,2004
205,RM,3,2,1284,2009,110000,OldTown,5,1947
206,RL,2,3,1442,2009,180500,Gilbert,5,1990
207,RL,5,3,1696,2007,143900,Sawyer,8,1962
208,RL,3,3,1100,2008,141000,NAmes,6,1960
209,RL,4,3,2062,2007,277000,SawyerW,7,1988
210,RL,3,3,1092,2008,145000,NAmes,6,1964
211,RL,3,2,864,2008,98000,Edwards,5,1925
212,RL,3,3,1212,2010,186000,Edwards,6,2009
213,FV,4,3,1852,2009,252678,Somerst,7,2009
214,RL,2,3,990,2006,156000,CollgCr,5,1995
215,RL,3,3,1392,2010,161750,CollgCr,6,1977
216,RL,4,2,1236,2006,134450,NAmes,6,1957
217,RL,5,3,1436,2008,210000,CollgCr,8,2004
218,RM,5,3,1328,2006,107000,OldTown,8,1925
219,RL,5,3,1954,2008,311500,Crawfor,8,1939
220,RL,3,2,1248,2006,167240,Blmngtn,5,2005
221,RL,3,2,1498,2006,204900,CollgCr,5,2006
222,RL,4,4,2267,2009,200000,Gilbert,8,2002
223,RL,3,3,1552,2006,179900,NWAmes,6,1975
224,RL,2,2,864,2009,97000,NAmes,4,1971
225,RL,5,3,2392,2009,386250,NridgHt,8,2003
226,RM,3,3,1302,2009,112000,BrDale,6,1971
227,RL,5,4,2520,2007,290000,NoRidge,9,1995
228,RM,3,2,987,2008,106000,BrDale,5,1970
229,RL,2,3,912,2010,125000,Sawyer,5,1967
230,RL,5,2,1555,2009,192500,Blmngtn,7,2005
231,RL,3,3,1194,2010,148000,NAmes,6,1959
232,RL,5,4,2794,2009,403000,NoRidge,9,1995
233,RM,3,2,987,2006,94500,BrDale,5,1972
234,RL,2,3,894,2010,128200,CollgCr,5,1976
235,RL,4,4,1960,2010,216500,Gilbert,8,2002
236,RM,3,2,987,2008,89500,BrDale,5,1971
237,RL,3,3,1414,2010,185500,CollgCr,6,2004
238,RL,4,3,1744,2010,194500,SawyerW,7,1993
239,RL,4,3,1694,2007,318000,NridgHt,7,2007
240,RL,4,3,1487,2010,113000,Edwards,7,1945
241,FV,4,3,1566,2010,262500,Somerst,7,2008
242,RM,2,2,866,2007,110500,OldTown,4,1945
243,RM,3,3,1440,2006,79000,OldTown,6,1900
244,RL,3,3,1217,2009,120000,SawyerW,6,1980
245,RL,5,3,2110,2010,205000,SawyerW,8,1994
246,RL,3,3,1872,2006,241500,NWAmes,6,1988
247,RM,5,4,1928,2006,137000,OldTown,9,1910
248,RL,3,2,1375,2006,140000,NAmes,5,1954
249,RL,5,3,1668,2007,180000,CollgCr,8,2003
250,RL,3,4,2144,2007,277000,ClearCr,7,1958
251,RL,3,3,1306,2010,76500,BrkSide,6,1940
252,RM,3,2,1625,2007,235000,Crawfor,5,2006
253,RL,3,3,1640,2008,173000,SawyerW,6,2004
254,RL,4,3,1302,2007,158000,NAmes,7,1964
255,RL,2,3,1314,2010,145000,NAmes,5,1957
256,RL,4,4,2291,2006,230000,Gilbert,8,1999
257,FV,4,3,1728,2008,207500,Somerst,7,2003
